Train_Number,Leg_OD,Leg_ID,Date,Total_Capacity,Total_Utilised,Occupancy,Total_Packs,Packs_Used,Unassigned_Containers,Unassigned_Length
2BM4,BFT-SFT,1,2025-01-06,1102.1568000000002,1063.7520000000002,0.9651548672566371,18,18,17,103.632
2BM4,BFT-SFT,1,2025-01-13,1102.1568000000002,1075.6392000000003,0.9759402654867257,18,18,42,292.608
2BM4,BFT-SFT,1,2025-01-20,1102.1568000000002,1082.0400000000002,0.9817477876106194,18,18,33,256.03200000000004
2BM4,BFT-SFT,1,2025-01-27,1102.1568000000002,1080.5160000000003,0.9803650442477877,18,18,33,292.608
2BM4,BFT-SFT,1,2025-02-03,1102.1568000000002,1058.2656000000002,0.9601769911504424,18,18,18,109.72800000000001
2BM4,BFT-SFT,1,2025-02-10,1102.1568000000002,1051.2552000000003,0.953816371681416,18,18,10,60.96
2BM4,BFT-SFT,1,2025-02-17,1102.1568000000002,1049.4264000000003,0.9521570796460178,18,18,38,231.64800000000002
2BM4,BFT-SFT,1,2025-02-24,1102.1568000000002,1060.3992000000003,0.9621128318584071,18,18,6,36.576
2BM4,BFT-SFT,1,2025-03-03,1102.1568000000002,876.9096000000002,0.7956305309734514,18,14,0,0.0
2BM4,BFT-SFT,1,2025-03-10,1102.1568000000002,962.5584000000002,0.8733407079646018,18,15,0,0.0
2BM4,BFT-SFT,1,2025-03-17,1102.1568000000002,922.3248000000002,0.8368362831858407,18,14,0,0.0
2BM4,BFT-SFT,1,2025-03-24,1102.1568000000002,979.0176000000002,0.8882743362831859,18,16,0,0.0
2BM4,BFT-SFT,1,2025-03-31,1102.1568000000002,449.8847999999999,0.4081858407079645,18,7,0,0.0
2BM4,BFT-SFT,1,2025-04-07,1102.1568000000002,1052.4744000000003,0.9549225663716815,18,18,30,243.84
2BM4,BFT-SFT,1,2025-04-14,1102.1568000000002,821.7408000000001,0.745575221238938,18,14,0,0.0
2BM4,BFT-SFT,1,2025-04-21,1102.1568000000002,1091.1840000000002,0.9900442477876106,18,18,107,1364.2848000000001
2BM4,BFT-SFT,1,2025-04-28,1102.1568000000002,611.4287999999999,0.5547566371681414,18,10,0,0.0
2BM4,BFT-SFT,1,2025-05-05,1102.1568000000002,211.5312,0.19192477876106193,18,4,0,0.0
