Train,Train_leg,Wagon_type,Date,Container,Pack,idx
2BM4,BFT-SFT,RQJW,1/09/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,1/09/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,10/02/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,10/02/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,10/02/2025,60,Pack_3,0
2BM4,BFT-SFT,RQJW,10/02/2025,40,Pack_4,0
2BM4,BFT-SFT,RQJW,10/02/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,10/02/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,10/02/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,10/02/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,10/02/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,10/03/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,10/03/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,10/11/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,10/11/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,10/11/2025,40,Pack_3,0
2BM4,BFT-SFT,RQJW,10/11/2025,40,Pack_3,0
2BM4,BFT-SFT,RQJW,10/11/2025,40,Pack_4,0
2BM4,BFT-SFT,RQJW,10/11/2025,40,Pack_4,0
2BM4,BFT-SFT,RQJW,10/11/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,10/11/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,11/08/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,11/08/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,11/08/2025,60,Pack_3,0
2BM4,BFT-SFT,RQJW,11/08/2025,60,Pack_4,0
2BM4,BFT-SFT,RQJW,11/08/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,11/08/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,11/08/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,11/08/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,12/05/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,12/05/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,12/05/2025,60,Pack_3,0
2BM4,BFT-SFT,RQJW,12/05/2025,48,Pack_4,0
2BM4,BFT-SFT,RQJW,12/05/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,12/05/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,12/05/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,12/05/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,13/01/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,13/01/2025,40,Pack_2,0
2BM4,BFT-SFT,RQJW,13/01/2025,40,Pack_2,0
2BM4,BFT-SFT,RQJW,13/01/2025,40,Pack_3,0
2BM4,BFT-SFT,RQJW,13/01/2025,40,Pack_3,0
2BM4,BFT-SFT,RQJW,13/01/2025,40,Pack_4,0
2BM4,BFT-SFT,RQJW,13/01/2025,40,Pack_4,0
2BM4,BFT-SFT,RQJW,13/01/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,13/10/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,13/10/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,13/10/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,13/10/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,14/04/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,14/04/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,14/04/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,14/04/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,14/07/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,14/07/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,14/07/2025,20,Pack_4,0
2BM4,BFT-SFT,RQJW,15/09/2025,60,Pack_1,0
2BM4,BFT-SFT,RQJW,15/09/2025,60,Pack_2,0
2BM4,BFT-SFT,RQJW,15/09/2025,60,Pack_3,0
2BM4,BFT-SFT,RQJW,15/09/2025,60,Pack_4,0
2BM4,BFT-SFT,RQJW,15/09/2025,20,Pack_1,0
2BM4,BFT-SFT,RQJW,15/09/2025,20,Pack_2,0
2BM4,BFT-SFT,RQJW,15/09/2025,20,Pack_3,0
2BM4,BFT-SFT,RQJW,15/09/2025,20,Pack_4,0
