TRAIN_NUMBER,LEG_ID,LEG_OD,MINUTE_ARRIVAL,ARRIVAL_DAY,MINUTE_DEPARTURE,DEPARTURE_DAY,PLATFORM_NAME,NUMBER_OF_PLATFORMS,PLATFORM_SIZE,NUMBER_OF_WAGONS,WAGON_TYPE
1827THU,1,SFT-GBJ,8424,Friday,6984,Thursday,RQZY,5.0,48.0,3,RQZY
1827THU,1,SFT-GBJ,8424,Friday,6984,Thursday,RRQY,5.0,48.0,3,RRQY
1MP2,1,MFT-TLB,2450,Monday,1010,Sunday,RQJW,1.0,80.0,7,RQJW
1MP2,1,MFT-TLB,2450,Monday,1010,Sunday,RRAY,5.0,48.0,4,RRAY
1MP2,1,MFT-TLB,2450,Monday,1010,Sunday,RRYY,5.0,53.0,1,RRYY
1MP2,2,TLB-AFT,1655,Monday,1655,Monday,RQJW,1.0,80.0,7,RQJW
1MP2,2,TLB-AFT,1655,Monday,1655,Monday,RRAY,5.0,48.0,4,RRAY
1MP2,2,TLB-AFT,1655,Monday,1655,Monday,RRYY,5.0,53.0,1,RRYY
1MP2,3,AFT-SCJ,2175,Monday,2175,Monday,RQJW,1.0,80.0,7,RQJW
1MP2,4,SCJ-COK,4040,Tuesday,2600,Monday,RQJW,1.0,80.0,7,RQJW
1MP2,5,COK-WEK,3321,Tuesday,3321,Tuesday,RQJW,1.0,80.0,7,RQJW
1MP2,6,WEK-PFT,5690,Wednesday,4250,Tuesday,RQJW,1.0,80.0,7,RQJW
1PM5,1,PFT-WEK,2400,Monday,960,Sunday,CQWY,2.0,48.0,6,CQWY
1PM5,1,PFT-WEK,2400,Monday,960,Sunday,RQJW,1.0,80.0,1,RQJW
1PM5,1,PFT-WEK,2400,Monday,960,Sunday,RQZY,5.0,48.0,8,RQZY
1PM5,1,PFT-WEK,2400,Monday,960,Sunday,RRQY,5.0,48.0,2,RRQY
1PM5,1,PFT-WEK,2400,Monday,960,Sunday,RRYY,5.0,53.0,1,RRYY
1PM5,2,WEK-COK,1725,Monday,1725,Monday,CQWY,2.0,48.0,6,CQWY
1PM5,2,WEK-COK,1725,Monday,1725,Monday,RQJW,1.0,80.0,1,RQJW
1PM5,2,WEK-COK,1725,Monday,1725,Monday,RQZY,5.0,48.0,8,RQZY
1PM5,2,WEK-COK,1725,Monday,1725,Monday,RRQY,5.0,48.0,2,RRQY
1PM5,2,WEK-COK,1725,Monday,1725,Monday,RRYY,5.0,53.0,1,RRYY
1PM5,3,COK-SCJ,4090,Tuesday,2650,Monday,CQWY,2.0,48.0,6,CQWY
1PM5,3,COK-SCJ,4090,Tuesday,2650,Monday,RQJW,1.0,80.0,1,RQJW
1PM5,3,COK-SCJ,4090,Tuesday,2650,Monday,RQZY,5.0,48.0,8,RQZY
1PM5,3,COK-SCJ,4090,Tuesday,2650,Monday,RRQY,5.0,48.0,2,RRQY
1PM5,3,COK-SCJ,4090,Tuesday,2650,Monday,RRYY,5.0,53.0,1,RRYY
1PM5,4,SCJ-AFT,3810,Tuesday,3810,Tuesday,CQWY,2.0,48.0,6,CQWY
1PM5,4,SCJ-AFT,3810,Tuesday,3810,Tuesday,RQJW,1.0,80.0,1,RQJW
1PM5,4,SCJ-AFT,3810,Tuesday,3810,Tuesday,RQZY,5.0,48.0,8,RQZY
1PM5,4,SCJ-AFT,3810,Tuesday,3810,Tuesday,RRQY,5.0,48.0,2,RRQY
1PM5,4,SCJ-AFT,3810,Tuesday,3810,Tuesday,RRYY,5.0,53.0,1,RRYY
1PM5,5,AFT-TLB,4650,Wednesday,4650,Wednesday,CQWY,2.0,48.0,6,CQWY
1PM5,5,AFT-TLB,4650,Wednesday,4650,Wednesday,RQJW,1.0,80.0,1,RQJW
1PM5,5,AFT-TLB,4650,Wednesday,4650,Wednesday,RQZY,5.0,48.0,6,RQZY
1PM5,5,AFT-TLB,4650,Wednesday,4650,Wednesday,RRQY,5.0,48.0,1,RRQY
1PM5,5,AFT-TLB,4650,Wednesday,4650,Wednesday,RRYY,5.0,53.0,1,RRYY
1PM5,6,TLB-MFT,4950,Wednesday,4950,Wednesday,CQWY,2.0,48.0,6,CQWY
1PM5,6,TLB-MFT,4950,Wednesday,4950,Wednesday,RQJW,1.0,80.0,1,RQJW
1PM5,6,TLB-MFT,4950,Wednesday,4950,Wednesday,RQZY,5.0,48.0,6,RQZY
1PM5,6,TLB-MFT,4950,Wednesday,4950,Wednesday,RRQY,5.0,48.0,1,RRQY
1PM5,6,TLB-MFT,4950,Wednesday,4950,Wednesday,RRYY,5.0,53.0,1,RRYY
1PS6,1,PFT-SCJ,1880,Monday,440,Sunday,RQJW,1.0,80.0,5,RQJW
1PS6,1,PFT-SCJ,1880,Monday,440,Sunday,RQZY,5.0,48.0,5,RQZY
1PS6,1,PFT-SCJ,1880,Monday,440,Sunday,RRAY,5.0,48.0,7,RRAY
1PS6,1,PFT-SCJ,1880,Monday,440,Sunday,RRYY,5.0,53.0,1,RRYY
