TRAIN_NUM,DATE,MONTH,WEEK,BOX_TYPE,OD_PAIR,SUBTOTAL_BOX,SUBTOTAL_TEUS
1BM4,2023-01-24 02:48:00,1,4,C20,BFT-MFT,3,3.0
1BM4,2023-08-15 03:45:00,8,33,C20,BFT-MFT,14,14.0
1BM4,2023-08-15 03:45:00,8,33,C40,BFT-MFT,29,58.0
1BM4,2023-08-15 03:45:00,8,33,C42,BFT-MFT,1,2.1
1BM4,2023-08-15 03:45:00,8,33,C48,BFT-MFT,46,110.39999999999999
1BM4,2023-08-15 03:45:00,8,33,C60,BFT-MFT,2,6.0
1BM4,2023-10-31 03:10:00,10,44,C20,BFT-MFT,8,8.0
1BM4,2023-10-31 03:10:00,10,44,C40,BFT-MFT,29,58.0
1BM4,2023-10-31 03:10:00,10,44,C42,BFT-MFT,6,12.600000000000001
1BM4,2023-10-31 03:10:00,10,44,C48,BFT-MFT,40,96.0
1BM4,2023-10-31 03:10:00,10,44,C60,BFT-MFT,2,6.0
1BM4,2023-11-14 01:43:00,11,46,C20,BFT-MFT,1,1.0
1BM4,2024-01-09 02:23:00,1,1,C20,BFT-MFT,19,19.0
1BM4,2024-01-09 02:23:00,1,1,C40,BFT-MFT,7,14.0
1BM4,2024-01-09 02:23:00,1,1,C42,BFT-MFT,1,2.1
1BM4,2024-01-09 02:23:00,1,1,C45,BFT-MFT,1,2.2
1BM4,2024-01-09 02:23:00,1,1,C48,BFT-MFT,65,156.0
1BM4,2024-02-06 03:51:00,2,5,C20,SFT-ETT,18,18.0
1BM4,2024-02-06 08:56:00,2,5,C20,BFT-MFT,13,13.0
1BM4,2024-02-06 08:56:00,2,5,C40,BFT-MFT,6,12.0
1BM4,2024-02-06 08:56:00,2,5,C48,BFT-MFT,23,55.199999999999996
1MB4,2023-01-24 02:45:00,1,4,C20,MFT-BFT,6,6.0
1MB4,2023-01-24 02:45:00,1,4,C40,MFT-BFT,4,8.0
1MB4,2023-01-24 02:45:00,1,4,C40,MFT-TVT,1,2.0
1MB4,2023-01-24 02:45:00,1,4,C48,MFT-BFT,9,21.599999999999998
