Train_Number,Leg_OD,Leg_ID,Date,Total_Capacity,Total_Utilised,Occupancy,Total_Packs,Packs_Used,Unassigned_Containers,Unassigned_Length
2BM4,BFT-SFT,1,2025-01-06,273.1008,103.632,0.37946428571428575,4,4,17,103.632
2BM4,BFT-SFT,1,2025-01-13,346.2528,292.608,0.8450704225352114,5,5,42,292.608
2BM4,BFT-SFT,1,2025-01-20,346.2528,256.032,0.7394366197183099,5,5,33,256.03200000000004
2BM4,BFT-SFT,1,2025-01-27,346.2528,292.608,0.8450704225352114,5,5,33,292.608
2BM4,BFT-SFT,1,2025-02-03,273.1008,109.728,0.4017857142857143,4,4,18,109.72800000000001
2BM4,BFT-SFT,1,2025-02-10,204.8256,60.96,0.2976190476190476,3,3,10,60.96
2BM4,BFT-SFT,1,2025-02-17,273.1008,231.648,0.8482142857142857,4,4,38,231.64800000000002
2BM4,BFT-SFT,1,2025-02-24,136.5504,36.576,0.26785714285714285,2,2,6,36.576
2BM4,BFT-SFT,1,2025-03-03,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-03-10,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-03-17,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-03-24,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-03-31,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-04-07,273.1008,243.84,0.8928571428571429,4,4,30,243.84
2BM4,BFT-SFT,1,2025-04-14,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-04-21,1102.1568000000002,1083.8688000000002,0.9834070796460177,18,18,107,1364.2848000000001
2BM4,BFT-SFT,1,2025-04-28,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-05-05,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-05-12,1102.1568000000002,1087.5264000000002,0.9867256637168141,18,18,456,6521.500800000001
2BM4,BFT-SFT,1,2025-05-19,273.1008,128.01600000000002,0.4687500000000001,4,4,21,128.01600000000002
2BM4,BFT-SFT,1,2025-05-26,273.1008,109.728,0.4017857142857143,4,4,17,109.72800000000001
2BM4,BFT-SFT,1,2025-06-02,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-06-09,68.2752,18.288,0.26785714285714285,1,1,3,18.288
2BM4,BFT-SFT,1,2025-06-16,68.2752,6.096,0.08928571428571429,1,1,1,6.096
2BM4,BFT-SFT,1,2025-06-23,273.1008,115.82400000000001,0.4241071428571429,4,4,19,115.82400000000001
2BM4,BFT-SFT,1,2025-06-30,0.0,0.0,0.0,0,0,0,0.0
2BM4,BFT-SFT,1,2025-07-07,117.0432,54.864000000000004,0.46875000000000006,3,3,5,54.864000000000004
2BM4,BFT-SFT,1,2025-07-14,68.2752,18.288,0.26785714285714285,1,1,3,18.288
2BM4,BFT-SFT,1,2025-07-21,24.384,18.288,0.75,1,1,1,18.288
2BM4,BFT-SFT,1,2025-07-28,68.2752,18.288,0.26785714285714285,1,1,3,18.288
2BM4,BFT-SFT,1,2025-08-04,297.48479999999995,121.92,0.40983606557377056,5,5,18,121.92
