Date,ContainerType,TrainNum,DayOfWeek,Month,DailyVolume
2024-01-01,C 48,4MP5,Mon,1,2.399999999999972
2024-01-01,C 40,4MP5,Mon,1,2.0
2024-01-01,C 53,4MP5,Mon,1,2.599999999999996
2024-01-01,C 45,4MP5,Mon,1,2.1999999999999966
2024-01-01,C 20,4MP5,Mon,1,1.0
2024-01-01,C 51,4MP5,Mon,1,2.5
2024-01-02,C 48,4MP5,Tue,1,2.399999999999972
2024-01-02,C 40,4MP5,Tue,1,2.0
2024-01-02,C 53,4MP5,Tue,1,2.599999999999996
2024-01-02,C 45,4MP5,Tue,1,2.1999999999999966
2024-01-02,C 20,4MP5,Tue,1,1.0
2024-01-02,C 51,4MP5,Tue,1,2.5
2024-01-03,C 48,4MP5,Wed,1,2.399999999999972
2024-01-03,C 40,4MP5,Wed,1,2.0
2024-01-03,C 53,4MP5,Wed,1,2.599999999999996
2024-01-03,C 45,4MP5,Wed,1,2.1999999999999966
2024-01-03,C 20,4MP5,Wed,1,1.0
2024-01-03,C 51,4MP5,Wed,1,2.5
2024-01-04,C 48,4MP5,Thu,1,2.3999999999999786
2024-01-04,C 40,4MP5,Thu,1,2.0
2024-01-04,C 53,4MP5,Thu,1,2.599999999999996
2024-01-04,C 45,4MP5,Thu,1,2.1999999999999966
2024-01-04,C 20,4MP5,Thu,1,1.0
2024-01-04,C 51,4MP5,Thu,1,2.5
2024-01-05,C 48,4MP5,Fri,1,2.399999999999972
2024-01-05,C 40,4MP5,Fri,1,2.0
2024-01-05,C 53,4MP5,Fri,1,2.599999999999996
2024-01-05,C 45,4MP5,Fri,1,2.1999999999999966
2024-01-05,C 20,4MP5,Fri,1,1.0
2024-01-05,C 51,4MP5,Fri,1,2.5
2024-01-06,C 48,4MP5,Sat,1,2.399999999999972
2024-01-06,C 40,4MP5,Sat,1,2.0
2024-01-06,C 53,4MP5,Sat,1,2.599999999999996
2024-01-06,C 45,4MP5,Sat,1,2.1999999999999966
2024-01-06,C 20,4MP5,Sat,1,1.0
2024-01-06,C 51,4MP5,Sat,1,2.5
2024-01-07,C 48,4MP5,Sun,1,2.399999999999977
2024-01-07,C 40,4MP5,Sun,1,2.0
2024-01-07,C 53,4MP5,Sun,1,2.599999999999996
2024-01-07,C 45,4MP5,Sun,1,2.1999999999999966
2024-01-07,C 20,4MP5,Sun,1,1.0
2024-01-07,C 51,4MP5,Sun,1,2.5
2024-01-08,C 48,4MP5,Mon,1,2.399999999999972
2024-01-08,C 40,4MP5,Mon,1,2.0
2024-01-08,C 53,4MP5,Mon,1,2.599999999999996
2024-01-08,C 45,4MP5,Mon,1,2.1999999999999966
2024-01-08,C 20,4MP5,Mon,1,1.0
2024-01-08,C 51,4MP5,Mon,1,2.5
