,,,,,BOX_INTRA_WEEK_WEIGHT
1BM4,1,4,Sun,C20,0.44796437164366376
1BM4,8,33,Sun,C20,0.9169852424081352
1BM4,8,33,Sun,C40,0.7814287935710074
1BM4,8,33,Sun,C42,0.42138266258860413
1BM4,8,33,Sun,C48,0.13864219062509597
1BM4,8,33,Sun,C60,0.452545041704146
1BM4,10,44,Sun,C20,0.2815326565254576
1BM4,10,44,Sun,C40,0.28104310610285965
1BM4,10,44,Sun,C42,0.805098911347364
1BM4,10,44,Sun,C48,0.3140204661596654
1BM4,10,44,Sun,C60,0.5662658055409329
1BM4,11,46,Sun,C20,0.2410069316414441
1MB4,1,4,Sun,C20,0.2200152172418457
1MB4,1,4,Sun,C40,0.4349526054856544
1MB4,1,4,Sun,C48,0.606418777358822
1MB4,8,33,Sun,C20,0.3104672268896479
1MB4,8,33,Sun,C40,0.06686740523121781
1MB4,8,33,Sun,C48,0.6432267553637432
1MB4,8,33,Sun,C60,0.21229570834515754
1MB4,10,44,Sun,C20,1.0
1MB4,10,44,Sun,C40,0.9112506812460995
1MB4,10,44,Sun,C42,0.2896524009960576
1MB4,10,44,Sun,C48,0.4474672175350896
1MB4,11,46,Sun,C20,0.5432830617537219
1MB4,11,46,Sun,C40,0.3467947035641822
1MB4,11,46,Sun,C42,0.11117513851905135
1MB4,11,46,Sun,C45,0.9317327688147816
1MB4,11,46,Sun,C48,0.08533850073437654
1MB4,11,46,Sun,C60,0.5597036466976061
1MC2,11,46,Sun,C20,0.2592729433976981
1MC2,11,46,Sun,C40,0.7996122151886528
1MP2,1,3,Sun,C20,0.8890738671921201
1MP2,1,3,Sun,C40,0.27133145349578697
1MP2,1,3,Sun,C48,0.4564186189229365
1MP2,1,4,Sun,C20,0.20843504589338335
1MP2,1,4,Sun,C40,0.8753322217715392
1MP2,1,4,Sun,C48,0.09767953944159331
1MP2,1,5,Sun,C20,0.95
1MP2,1,5,Sun,C40,0.9491168031833285
1MP2,1,5,Sun,C48,0.3190309699450227
1MP2,2,6,Sun,C20,0.5219361338357824
1MP2,2,6,Sun,C40,0.08426985212363765
1MP2,2,6,Sun,C48,0.3228563343489239
1MP2,2,7,Sun,C20,0.15462908281330123
1MP2,2,7,Sun,C40,0.5372315226843809
1MP2,2,7,Sun,C48,0.9111641378989956
1MP2,2,8,Sun,C20,0.5917636033598227
1MP2,2,8,Sun,C40,1.0
1MP2,2,8,Sun,C48,0.17308003422857793
1MP2,2,9,Sun,C20,0.8311343508883633
1MP2,2,9,Sun,C40,0.2802249588935242
1MP2,2,9,Sun,C48,0.4119432970733879
1MP2,3,10,Sun,C20,0.9597914554591738
1MP2,3,10,Sun,C40,0.6654595728801233
1MP2,3,10,Sun,C48,0.2600281299943671
1MP2,3,11,Sun,C20,0.05987237180789717
1MP2,3,11,Sun,C40,0.7622772731063951
1MP2,3,11,Sun,C48,0.72307246346234
1MP2,3,12,Sun,C20,0.18590433841301213
1MP2,3,12,Sun,C24,0.7914677217125354
1MP2,3,12,Sun,C40,0.735709313142473
1MP2,3,12,Sun,C48,0.8902460601933374
1MP2,3,13,Sun,C20,0.1749344165287467
1MP2,3,13,Sun,C40,0.9407312626239975
1MP2,3,13,Sun,C48,0.9999074804298761
1MP2,4,14,Sun,C20,0.5006966419288644
1MP2,4,14,Sun,C40,0.06767627558520957
1MP2,4,14,Sun,C48,0.7047504643067505
1MP2,4,16,Sun,C40,0.10111465330313783
1MP2,4,16,Sun,C48,0.6542627203899084
1MP2,4,16,Sun,C60,0.2728421669901737
1MP2,4,17,Sun,C20,0.22807210311891485
1MP2,4,17,Sun,C40,0.763082661523622
1MP2,4,17,Sun,C48,0.6846912731355007
1MP2,4,18,Sun,C20,0.3821950317861021
1MP2,4,18,Sun,C40,0.5567627126500064
1MP2,4,18,Sun,C48,0.6663256923714612
1MP2,5,19,Sun,C20,0.8991770416324966
1MP2,5,19,Sun,C40,0.9706999499876884
1MP2,5,19,Sun,C48,0.13026894968705194
1MP2,5,19,Sun,C51,0.834962096975198
1MP2,5,19,Sun,C60,0.8576073094851874
1MP2,5,20,Sun,C40,0.3453230180252578
1MP2,5,20,Sun,C48,0.7350666884477662
1MP2,5,21,Sun,C20,0.6041487077571068
1MP2,5,21,Sun,C40,0.33925601440493347
1MP2,5,21,Sun,C48,0.2623735394301097
1MP2,5,21,Sun,C51,0.5288917841680345
1MP2,5,22,Sun,C20,0.484864257533262
1MP2,5,22,Sun,C22,0.7249025730913159
1MP2,5,22,Sun,C40,0.008183285507738391
1MP2,5,22,Sun,C48,0.5574400544771363
1MP2,6,23,Sun,C20,0.699238373303202
1MP2,6,24,Sun,C20,0.20449218519266854
1MP2,6,24,Sun,C40,0.6632686385935246
1MP2,6,24,Sun,C48,0.47469021907221715
1MP2,6,24,Sun,C60,0.6479834870710839
1MP2,6,25,Sun,C40,0.28062274221874484
1MP2,6,25,Sun,C48,0.9115902365272521
1MP2,6,25,Sun,C60,0.14834915911775498
1MP2,6,26,Sun,C20,0.9268769093207733
1MP2,6,26,Sun,C40,0.5006647554322705
1MP2,6,26,Sun,C48,0.5436952676090541
1MP2,6,26,Sun,C60,0.914655713131517
1MP2,7,27,Sun,C20,0.32019345147883294
1MP2,7,27,Sun,C40,0.5875060801944437
1MP2,7,27,Sun,C48,0.18848886289385347
1MP2,7,27,Sun,C60,0.33794310494429586
1MP2,7,28,Sun,C20,0.2757736786092882
1MP2,7,28,Sun,C40,0.0
1MP2,7,28,Sun,C48,0.3057028959591327
1MP2,7,28,Sun,C60,0.9902898110882541
1MP2,7,29,Sun,C20,0.04741027872281156
1MP2,7,29,Sun,C40,0.35541607247795604
1MP2,7,29,Sun,C48,0.9682677929992993
1MP2,7,30,Sun,C20,0.8815457384075532
1MP2,7,30,Sun,C48,0.8299285330258076
1MP2,7,31,Sun,C20,0.589999147038293
1MP2,7,31,Sun,C40,0.21288448421637912
1MP2,7,31,Sun,C48,0.36959855530211666
1MP2,7,31,Sun,C60,0.6890951402315172
1MP2,8,32,Sun,C20,0.3266138199368486
1MP2,8,32,Sun,C40,0.19921072569828746
1MP2,8,32,Sun,C48,0.6239815223872206
1MP2,8,33,Sun,C20,0.2263341272640677
1MP2,8,33,Sun,C40,0.6804022056407757
1MP2,8,33,Sun,C48,0.8323368974626968
1MP2,8,33,Sun,C51,0.6352793438943022
1MP2,8,33,Sun,C60,0.8869304989745168
1MP2,8,34,Sun,C20,0.8980570009471986
1MP2,8,34,Sun,C40,0.3253286781279521
1MP2,8,34,Sun,C48,0.8780393737872739
1MP2,8,34,Sun,C51,0.3191635384398134
1MP2,8,35,Sun,C20,0.08950534232932139
