DATE,OD_PAIR,NUM_BOXES
1/01/2025,AFT-BFT,431.37
1/01/2025,AFT-GBJ,75.61
1/01/2025,AFT-GLT,0.69
1/01/2025,AFT-MFT,1129.79
1/01/2025,AFT-MKY,2.07
1/01/2025,AFT-MOR,17.46
1/01/2025,AFT-PFT,1926.27
1/01/2025,AFT-PLT,0.07
1/01/2025,AFT-ROK,0.89
1/01/2025,AFT-SFT,523.91
1/01/2025,AFT-TVT,8.79
1/01/2025,AFT-WEK,4.2
1/01/2025,AFT-WQX,7.31
1/01/2025,ASP-BFT,4.15
1/01/2025,ASP-MFT,93.47
1/01/2025,ASP-MOR,0.58
1/01/2025,ASP-PFT,1.5
1/01/2025,ASP-SFT,23.05
1/01/2025,BFT-AFT,335.07
1/01/2025,BFT-ASP,2.53
1/01/2025,BFT-BOT,6.22
1/01/2025,BFT-BRT,5.26
1/01/2025,BFT-ETT,36.53
1/01/2025,BFT-KAH,0.7
1/01/2025,BRT-BFT,3.65
1/01/2025,BFT-MFT,4417.85
1/01/2025,BFT-MOR,21.24
1/01/2025,BFT-PFT,1007.89
1/01/2025,BFT-PLT,0.17
1/01/2025,KAH-BFT,0.1
1/01/2025,BFT-SFT,833.69
1/01/2025,BFT-WEK,25.49
1/01/2025,BRT-MFT,230
1/01/2025,BRT-MOR,4.34
1/01/2025,BRT-PFT,19.38
1/01/2025,BRT-SFT,52.27
1/01/2025,GLT-AFT,2.01
1/01/2025,GLT-ETT,0.53
1/01/2025,GLT-MFT,48.7
1/01/2025,GLT-MOR,0.18
1/01/2025,GLT-PFT,5.1
1/01/2025,GLT-SFT,4.27
1/01/2025,KAH-MFT,5.66
1/01/2025,MKY-AFT,2.53
1/01/2025,MKY-BRT,0.09
1/01/2025,MKY-ETT,0.8
1/01/2025,MKY-MFT,18.94
1/01/2025,MKY-MOR,1.33
1/01/2025,MKY-PFT,4.29
1/01/2025,MKY-SFT,4.62
1/01/2025,ROK-AFT,0.52
1/01/2025,ROK-BRT,0.17
1/01/2025,TVT-AFT,11.79
1/01/2025,TVT-ASP,0.09
1/01/2025,WQX-AFT,5.15
1/01/2025,WQX-ASP,0.26
1/01/2025,ROK-MFT,2.48
1/01/2025,ROK-MOR,0.36
1/01/2025,ROK-PFT,7.8
1/01/2025,ROK-SFT,3.64
1/01/2025,TVT-MFT,49.65
1/01/2025,WQX-MFT,23.15
1/01/2025,TVT-PFT,17.32
1/01/2025,TVT-WEK,0.16
1/01/2025,WQX-PFT,8.09
1/01/2025,WQX-WEK,0.08
1/01/2025,TVT-ETT,5.33
1/01/2025,TVT-MOR,52.53
1/01/2025,TVT-SFT,64.71
1/01/2025,WQX-ETT,1.24
1/01/2025,WQX-MOR,1.96
1/01/2025,WQX-SFT,21.87
1/01/2025,MFT-AFT,762.45
1/01/2025,MFT-ASP,27.42
1/01/2025,MFT-BRT,236.8
1/01/2025,MFT-KAH,4.27
1/01/2025,MFT-TEC,0.27
1/01/2025,MFT-WHY,3.46
1/01/2025,PLT-AFT,0.07
1/01/2025,MFT-BFT,4903.89
1/01/2025,MFT-GLT,40.75
1/01/2025,MFT-IFL,0.4
1/01/2025,MFT-MBT,0.16
1/01/2025,MFT-MER,0.56
1/01/2025,MFT-MKY,31.26
1/01/2025,MFT-ROK,8.21
1/01/2025,MFT-TVT,73.37
1/01/2025,MFT-WQX,31.74
1/01/2025,PLT-BFT,0.16
1/01/2025,MFT-PFT,8260.37
1/01/2025,MFT-WEK,32.14
1/01/2025,APD-GRF,1.11
1/01/2025,MFT-ETT,0.05
1/01/2025,MFT-MOR,23.44
1/01/2025,MFT-SFT,612.02
1/01/2025,PLT-SFT,0.32
1/01/2025,GLT-MBT,249
1/01/2025,GLT-MKY,124.38
1/01/2025,GLT-PLT,0.07
1/01/2025,GLT-TSJ,33.73
1/01/2025,GLT-TVT,110.06
1/01/2025,GLT-WQX,75.57
1/01/2025,IFL-MBT,85.5
1/01/2025,IFL-TVT,0.28
1/01/2025,IFL-WQX,0.07
1/01/2025,MBT-GLT,143.82
1/01/2025,MBT-IFL,67.36
1/01/2025,MBT-MER,156.95
1/01/2025,MBT-MKY,707.73
1/01/2025,MBT-ROK,239.6
1/01/2025,MBT-TSJ,132.21
1/01/2025,MBT-TVT,1978.9
1/01/2025,MBT-WQX,1390.4
1/01/2025,MER-GLT,0.17
1/01/2025,MER-MBT,160.1
1/01/2025,MKY-GLT,127.87
1/01/2025,MKY-MBT,718.09
1/01/2025,MKY-ROK,0.21
1/01/2025,MKY-TVT,11.6
1/01/2025,MKY-WQX,1.78
1/01/2025,ROK-IFL,0.24
1/01/2025,ROK-MBT,255.51
1/01/2025,ROK-MER,1.41
1/01/2025,ROK-MKY,1.05
1/01/2025,ROK-TSJ,102.54
1/01/2025,ROK-TVT,25.17
1/01/2025,ROK-WEK,0.14
1/01/2025,ROK-WQX,42.79
1/01/2025,TSJ-GLT,0.07
1/01/2025,TSJ-TVT,1.28
1/01/2025,TSJ-WQX,89.73
1/01/2025,TVT-BFT,0.14
1/01/2025,TVT-GLT,251.54
1/01/2025,TVT-IFL,0.07
1/01/2025,TVT-MBT,1956.65
1/01/2025,TVT-MKY,38.99
1/01/2025,TVT-ROK,143.11
1/01/2025,TVT-TSJ,12.03
1/01/2025,TVT-WQX,21.09
1/01/2025,WQX-GLT,73.08
1/01/2025,WQX-IFL,15.16
1/01/2025,WQX-MBT,1303
1/01/2025,WQX-MKY,2.63
1/01/2025,WQX-ROK,38.57
1/01/2025,WQX-TSJ,89.59
1/01/2025,WQX-TVT,24.93
1/01/2025,ASP-WEK,0.34
1/01/2025,BRT-AFT,1.93
1/01/2025,ETT-ROK,0.34
1/01/2025,MFT-PLT,1.01
1/01/2025,MOR-SFT,7.1
1/01/2025,PFT-WEK,2.53
1/01/2025,SFT-ETT,67.94
1/01/2025,SFT-GBJ,0.34
1/01/2025,SFT-MOR,10.48
1/01/2025,SFT-PLT,2.87
1/01/2025,SFT-TEC,0.17
1/01/2025,PFT-AFT,2377.18
1/01/2025,PFT-ASP,23.12
1/01/2025,PFT-BRT,212.77
1/01/2025,PFT-KAH,9.54
1/01/2025,PFT-TEC,0.38
1/01/2025,WEK-AFT,1.82
1/01/2025,WEK-BRT,0.08
1/01/2025,PFT-BFT,912.58
1/01/2025,PFT-GLT,7.6
1/01/2025,PFT-MKY,5.02
1/01/2025,PFT-ROK,47.84
1/01/2025,PFT-TVT,11.56
1/01/2025,PFT-WQX,9.55
1/01/2025,WEK-BFT,37.81
1/01/2025,WEK-GLT,0.1
1/01/2025,WEK-MER,0.1
1/01/2025,WEK-MKY,0.1
1/01/2025,WEK-TVT,0.49
1/01/2025,WEK-WQX,0.1
1/01/2025,PFT-MFT,6548.09
1/01/2025,WEK-MFT,25.56
1/01/2025,PFT-GBJ,274.74
1/01/2025,PFT-MOR,18.67
1/01/2025,PFT-PLT,1.11
1/01/2025,PFT-SFT,2948.16
1/01/2025,WEK-MOR,0.2
1/01/2025,WEK-SFT,12.95
1/01/2025,GBJ-AFT,53.68
1/01/2025,MOR-AFT,49.15
1/01/2025,MOR-ASP,0.36
1/01/2025,MOR-BRT,3.45
1/01/2025,MOR-KAH,1.22
1/01/2025,SFT-AFT,231.85
1/01/2025,SFT-ASP,6.18
1/01/2025,SFT-BRT,72.99
1/01/2025,SFT-KAH,1.8
1/01/2025,ETT-BFT,28.9
1/01/2025,ETT-GLT,0.49
1/01/2025,ETT-MKY,0.42
1/01/2025,ETT-SFT,29.32
1/01/2025,ETT-TVT,3.3
