TRAIN_NAME,TRAIN,ORIGIN,DEP_TIME,DEP_DAY,ARR_TIME,ARR_DAY,DESTINATION,LEG_NUM
1004,1004PFT,PFT,6:00:00,Sunday,6:00:00,Sunday,EPT,1
1113S,1113SFRI,PAD,16:39:00,Friday,16:39:00,Friday,PPT,1
1113S,1113SWED,PAD,14:44:00,Wednesday,14:44:00,Wednesday,PPT,1
1114S,1114SFRI,PPT,19:45:00,Friday,19:45:00,Friday,PAD,1
1114S,1114SWED,PPT,19:45:00,Wednesday,19:45:00,Wednesday,PAD,1
1115S,1115SFRI,AFT,12:20:00,Friday,12:20:00,Friday,BRK,1
1115S,1115SMON,AFT,12:20:00,Monday,12:20:00,Monday,BRK,1
1115S,1115sthu,AFT,15:00:00,Thursday,15:00:00,Thursday,BRK,1
1115S,1115SWED,AFT,12:20:00,Wednesday,12:20:00,Wednesday,BRK,1
1116S,1116SFRI,BRK,14:00:00,Friday,14:00:00,Friday,AFT,1
1116S,1116SMON,BRK,13:50:00,Monday,13:50:00,Monday,AFT,1
1116S,1116SWED,BRK,14:00:00,Wednesday,14:00:00,Wednesday,AFT,1
1431,1431C,SFT,19:08:00,Tuesday,19:08:00,Tuesday,MOR,1
1431,1431ENF,ENF,1:17:00,Monday,1:17:00,Monday,MOR,2
1435,1435c,ENF,11:55:00,Tuesday,11:55:00,Tuesday,MOR,1
1435,1435d,ENF,11:55:00,Wednesday,11:55:00,Wednesday,MOR,1
1435,1435e,ENF,11:55:00,Thursday,11:55:00,Thursday,MOR,1
1435,1435f,ENF,11:55:00,Friday,11:55:00,Friday,MOR,1
1827FRI,1827FRISFT,SFT,20:47:00,Friday,20:47:00,Saturday,GBJ,1
1827THU,1827thuSFT,SFT,20:24:00,Thursday,20:24:00,Friday,GBJ,1
1829,1829SFT,SFT,10:28:00,Saturday,10:28:00,Saturday,GBJ,1
1921,1921MON,SFT,18:27:00,Monday,18:27:00,Monday,PTK,1
1921,1921SUN,SFT,23:10:00,Sunday,23:10:00,Monday,PTK,1
1921,1921TUE,SFT,18:27:00,Tuesday,18:27:00,Tuesday,PTK,1
1921,1921WED,SFT,18:27:00,Wednesday,18:27:00,Wednesday,PTK,1
1923,1923FRI,SFT,3:55:00,Friday,3:55:00,Friday,PTK,1
1923,1923SFT,SFT,3:55:00,Friday,3:55:00,Friday,PTK,1
1923,1923THUR,SFT,3:55:00,Thursday,3:55:00,Thursday,PTK,1
1923,1923WED,SFT,3:55:00,Wednesday,3:55:00,Wednesday,PTK,1
1AD8,1AD8KWK,KWK,12:20:00,Sunday,12:20:00,Sunday,SCJ,1
1AD8,1AD8SCJ,SCJ,17:07:00,Sunday,17:07:00,Monday,ASG,2
1AD8,1AD8ASG,ASG,18:00:00,Monday,18:00:00,Tuesday,DWN,3
1AP8,1AP8KWK,KWK,21:25:00,Sunday,21:25:00,Monday,SCJ,1
1AP8,1AP8SCJ,SCJ,3:30:00,Monday,3:30:00,Tuesday,EPT,2
1BM2,1bm2BFT,BFT,22:30:00,Sunday,22:30:00,Monday,MOR,1
