TRAIN_ID,TRAIN,TERMINAL,ARR_TIME,DEP_TIME,LEG_NUM,CORRIDOR
1BM2,1bm2BFT,BFT,,5/01/2025 22:30,1,MEL-BRI
1BM2,1bm2MOR,MOR,6/01/2025 13:30,6/01/2025 16:00,2,MEL-BRI
1BM2,1bm2SFT,SFT,6/01/2025 20:30,6/01/2025 22:30,3,MEL-BRI
1BM2,1bm2ETT,ETT,7/01/2025 10:00,7/01/2025 10:30,4,MEL-BRI
1BM2,1bm2MFT,MFT,7/01/2025 14:00,,5,MEL-BRI
1BM4,1bm4BFT,BFT,,5/01/2025 18:20,1,MEL-BRI
1BM4,1bm4SFT,SFT,6/01/2025 12:07,6/01/2025 12:25,2,MEL-BRI
1BM4,1bm2MFT,MFT,7/01/2025 2:55,,3,MEL-BRI
1MB2,1MB2MFT,MFT,,5/01/2025 5:45,1,MEL-BRI
1MB2,1MB2ETT,ETT,5/01/2025 10:43,5/01/2025 11:28,2,MEL-BRI
1MB2,1MB2SFT,SFT,5/01/2025 22:19,6/01/2025 1:12,3,MEL-BRI
1MB2,1MB2MOR,MOR,6/01/2025 5:11,6/01/2025 7:00,4,MEL-BRI
1MB2,1bm2BFT,BFT,7/01/2025 1:45,,5,MEL-BRI
1MB4,1mb4MFT,MFT,,5/01/2025 20:00,1,MEL-BRI
1MB4,1mb4SFT,SFT,6/01/2025 9:04,6/01/2025 9:09,2,MEL-BRI
1MB4,1bm2BFT,BFT,7/01/2025 3:50,,3,MEL-BRI
1MP2,1MP2MFT,MFT,,5/01/2025 16:50,1,MEL-PER
1MP2,1MP2TLB,TLB,6/01/2025 3:05,6/01/2025 3:35,2,MEL-PER
1MP2,1MP2AFT,AFT,6/01/2025 6:46,6/01/2025 12:15,3,MEL-PER
1MP2,1MP2SCJ,SCJ,6/01/2025 17:10,6/01/2025 19:20,4,MEL-PER
1MP2,1MP2COK,COK,7/01/2025 7:51,7/01/2025 7:21,5,MEL-PER
1MP2,1MP2WEK,WEK,7/01/2025 21:25,7/01/2025 22:50,6,MEL-PER
1MP2,1bm2PFT,PFT,8/01/2025 10:10,,7,MEL-PER
1MP5,1mp5MFT,MFT,,5/01/2025 21:35,1,MEL-PER
1MP5,1mp5AFT,AFT,6/01/2025 9:20,6/01/2025 13:20,2,MEL-PER
1MP5,1MP5SCJ,SCJ,6/01/2025 17:37,6/01/2025 18:18,3,MEL-PER
1MP5,1bm2PFT,PFT,8/01/2025 9:25,,4,MEL-PER
1MS2,1MS2MFT,MFT,,5/01/2025 18:25,1,MEL-SYD
1MS2,1bm2SFT,SFT,6/01/2025 7:20,,2,MEL-SYD
1PM5,1pm5PFT,PFT,,5/01/2025 16:00,1,MEL-PER
1PM5,1PM5WEK,WEK,6/01/2025 2:45,6/01/2025 4:45,2,MEL-PER
1PM5,1PM5COK,COK,6/01/2025 17:00,6/01/2025 20:10,3,MEL-PER
1PM5,1pm5SCJ,SCJ,7/01/2025 10:15,7/01/2025 15:30,4,MEL-PER
1PM5,1pm5AFT,AFT,7/01/2025 23:00,8/01/2025 5:30,5,MEL-PER
1PM5,1pm5TLB,TLB,8/01/2025 10:00,8/01/2025 10:30,6,MEL-PER
1PM5,1bm2MFT,MFT,8/01/2025 22:10,,7,MEL-PER
1PM6,1pm6PFT,PFT,,5/01/2025 19:30,1,MEL-PER
1PM6,1pm6SCJ,SCJ,7/01/2025 12:35,7/01/2025 14:45,2,MEL-PER
1PM6,1pm6AFT,AFT,7/01/2025 20:30,8/01/2025 8:30,3,MEL-PER
1PM6,1bm2MFT,MFT,8/01/2025 23:50,,4,MEL-PER
2AM5,2am5AFT,AFT,,6/01/2025 18:45,1,MEL-ADL
