Week,Day,Time,Day_Time,Terminal,Wagon_Type,Inventory
1,0,0,00:00,MFT,RQJW,0
1,0,30,00:30,MFT,RQJW,0
1,0,60,01:00,MFT,RQJW,0
1,0,90,01:30,MFT,RQJW,0
1,0,120,02:00,MFT,RQJW,0
1,0,150,02:30,MFT,RQJW,0
1,0,180,03:00,MFT,RQJW,0
1,0,210,03:30,MFT,RQJW,0
1,0,240,04:00,MFT,RQJW,0
1,0,270,04:30,MFT,RQJW,0
1,0,300,05:00,MFT,RQJW,0
1,0,330,05:30,MFT,RQJW,0
1,0,360,06:00,MFT,RQJW,0
1,0,390,06:30,MFT,RQJW,0
1,0,420,07:00,MFT,RQJW,0
1,0,450,07:30,MFT,RQJW,0
1,0,480,08:00,MFT,RQJW,0
1,0,510,08:30,MFT,RQJW,0
1,0,540,09:00,MFT,RQJW,0
1,0,570,09:30,MFT,RQJW,0
1,0,600,10:00,MFT,RQJW,0
1,0,630,10:30,MFT,RQJW,0
1,0,660,11:00,MFT,RQJW,0
1,0,690,11:30,MFT,RQJW,0
1,0,720,12:00,MFT,RQJW,0
1,0,750,12:30,MFT,RQJW,0
1,0,780,13:00,MFT,RQJW,0
1,0,810,13:30,MFT,RQJW,0
1,0,840,14:00,MFT,RQJW,0
1,0,870,14:30,MFT,RQJW,0
1,0,900,15:00,MFT,RQJW,0
1,0,930,15:30,MFT,RQJW,0
1,0,960,16:00,MFT,RQJW,0
1,0,990,16:30,MFT,RQJW,0
1,0,1020,17:00,MFT,RQJW,0
1,0,1050,17:30,MFT,RQJW,0
1,0,1080,18:00,MFT,RQJW,0
1,0,1110,18:30,MFT,RQJW,0
1,0,1140,19:00,MFT,RQJW,0
1,0,1170,19:30,MFT,RQJW,0
1,0,1200,20:00,MFT,RQJW,0
1,0,1230,20:30,MFT,RQJW,0
1,0,1260,21:00,MFT,RQJW,0
1,0,1290,21:30,MFT,RQJW,0
1,0,1320,22:00,MFT,RQJW,0
1,0,1350,22:30,MFT,RQJW,0
1,0,1380,23:00,MFT,RQJW,0
1,0,1410,23:30,MFT,RQJW,0
1,1,1440,00:00,MFT,RQJW,0
1,1,1470,00:30,MFT,RQJW,0
1,1,1500,01:00,MFT,RQJW,0
1,1,1530,01:30,MFT,RQJW,0
1,1,1560,02:00,MFT,RQJW,0
1,1,1590,02:30,MFT,RQJW,0
1,1,1620,03:00,MFT,RQJW,0
1,1,1650,03:30,MFT,RQJW,0
1,1,1680,04:00,MFT,RQJW,0
1,1,1710,04:30,MFT,RQJW,0
1,1,1740,05:00,MFT,RQJW,0
1,1,1770,05:30,MFT,RQJW,0
1,1,1800,06:00,MFT,RQJW,0
1,1,1830,06:30,MFT,RQJW,0
1,1,1860,07:00,MFT,RQJW,0
1,1,1890,07:30,MFT,RQJW,0
1,1,1920,08:00,MFT,RQJW,0
1,1,1950,08:30,MFT,RQJW,0
1,1,1980,09:00,MFT,RQJW,0
1,1,2010,09:30,MFT,RQJW,0
1,1,2040,10:00,MFT,RQJW,0
1,1,2070,10:30,MFT,RQJW,0
1,1,2100,11:00,MFT,RQJW,0
1,1,2130,11:30,MFT,RQJW,0
1,1,2160,12:00,MFT,RQJW,0
1,1,2190,12:30,MFT,RQJW,0
1,1,2220,13:00,MFT,RQJW,0
1,1,2250,13:30,MFT,RQJW,0
1,1,2280,14:00,MFT,RQJW,0
1,1,2310,14:30,MFT,RQJW,0
1,1,2340,15:00,MFT,RQJW,0
1,1,2370,15:30,MFT,RQJW,0
1,1,2400,16:00,MFT,RQJW,0
1,1,2430,16:30,MFT,RQJW,0
1,1,2460,17:00,MFT,RQJW,0
1,1,2490,17:30,MFT,RQJW,0
1,1,2520,18:00,MFT,RQJW,0
1,1,2550,18:30,MFT,RQJW,0
1,1,2580,19:00,MFT,RQJW,0
1,1,2610,19:30,MFT,RQJW,0
1,1,2640,20:00,MFT,RQJW,-4
1,1,2670,20:30,MFT,RQJW,-4
1,1,2700,21:00,MFT,RQJW,-4
1,1,2730,21:30,MFT,RQJW,-4
1,1,2760,22:00,MFT,RQJW,-4
1,1,2790,22:30,MFT,RQJW,-4
1,1,2820,23:00,MFT,RQJW,-4
1,1,2850,23:30,MFT,RQJW,-4
1,2,2880,00:00,MFT,RQJW,-4
1,2,2910,00:30,MFT,RQJW,-4
1,2,2940,01:00,MFT,RQJW,-4
1,2,2970,01:30,MFT,RQJW,-4
1,2,3000,02:00,MFT,RQJW,-4
1,2,3030,02:30,MFT,RQJW,-4
1,2,3060,03:00,MFT,RQJW,-4
1,2,3090,03:30,MFT,RQJW,-4
1,2,3120,04:00,MFT,RQJW,-4
1,2,3150,04:30,MFT,RQJW,-4
1,2,3180,05:00,MFT,RQJW,-4
1,2,3210,05:30,MFT,RQJW,-4
1,2,3240,06:00,MFT,RQJW,-4
1,2,3270,06:30,MFT,RQJW,-4
1,2,3300,07:00,MFT,RQJW,-4
1,2,3330,07:30,MFT,RQJW,-4
1,2,3360,08:00,MFT,RQJW,-4
1,2,3390,08:30,MFT,RQJW,-4
1,2,3420,09:00,MFT,RQJW,-4
1,2,3450,09:30,MFT,RQJW,-4
1,2,3480,10:00,MFT,RQJW,-4
1,2,3510,10:30,MFT,RQJW,-4
1,2,3540,11:00,MFT,RQJW,-4
1,2,3570,11:30,MFT,RQJW,-4
1,2,3600,12:00,MFT,RQJW,-4
1,2,3630,12:30,MFT,RQJW,-4
1,2,3660,13:00,MFT,RQJW,-4
1,2,3690,13:30,MFT,RQJW,-4
1,2,3720,14:00,MFT,RQJW,-4
1,2,3750,14:30,MFT,RQJW,-4
1,2,3780,15:00,MFT,RQJW,-4
1,2,3810,15:30,MFT,RQJW,-4
1,2,3840,16:00,MFT,RQJW,-4
1,2,3870,16:30,MFT,RQJW,-4
1,2,3900,17:00,MFT,RQJW,-4
1,2,3930,17:30,MFT,RQJW,-4
1,2,3960,18:00,MFT,RQJW,-4
1,2,3990,18:30,MFT,RQJW,-4
1,2,4020,19:00,MFT,RQJW,-4
1,2,4050,19:30,MFT,RQJW,-4
1,2,4080,20:00,MFT,RQJW,-8
1,2,4110,20:30,MFT,RQJW,-8
1,2,4140,21:00,MFT,RQJW,-8
1,2,4170,21:30,MFT,RQJW,-8
1,2,4200,22:00,MFT,RQJW,-8
1,2,4230,22:30,MFT,RQJW,-8
1,2,4260,23:00,MFT,RQJW,-8
1,2,4290,23:30,MFT,RQJW,-8
1,3,4320,00:00,MFT,RQJW,-8
1,3,4350,00:30,MFT,RQJW,-8
1,3,4380,01:00,MFT,RQJW,-8
1,3,4410,01:30,MFT,RQJW,-8
1,3,4440,02:00,MFT,RQJW,-8
1,3,4470,02:30,MFT,RQJW,-8
